bot_question,response_rg,user_response
We definitely have that in common. I like cats because i enjoy my home and little by little they become its visible soul. What do you think about cats?,OPINION,uh the are really sucks
"Sorry, I have to remain anonymous for this competition. So, What's your favorite animal?",RED_QUESTION,all the puss
"hahahaha, well at least you've got an intelligent AI! So, what are you interested in?",NEURAL_FALLBACK,making you shut the fuck up
"Hm I actually don't have a mother... So, What did you eat for dinner last night?",ONE_TURN_HACK,so what you're saying is you're a bastard
"That's another thing I'd rather not discuss. So, What historical person would you love to meet?",OFFENSIVE_USER,the world doesn't revolve around you a result revolves around me bitch
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,you shutting the hell up bitch
"Ok, no problem! So, What's one of your favorite places you've ever been?",MOVIES,stop you bastard
"i'm sorry to hear that, but depression is a real and serious problem. So, If you could meet any celebrity, who would it be?",NEURAL_FALLBACK,laugh you're sorry why did you dump peep bitch
"i can't tell either. So, do you like musicals?",NEURAL_FALLBACK,what is double penetration
"I'd rather not talk about that. So, do you like valentines?",OFFENSIVE_USER,find double penetration
"oh wow, i love the beach! i love the sand and the water! So, What TV show are you watching right now?",NEURAL_CHAT,i'm watching a tv show about dicks
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,what is anal
"You know what I was thinking? Taking notes in history class is rewriting history. So, If you could meet any celebrity, who would it be?",SHOWERTHOUGHTS,what is the definition of tea bagging
"""My Hands"" was selected as the official theme song for the trailer of Final Fantasy XIII.. The video game was first released in Japan on 17 December 2009, which uses a different theme song called ""Kimi Ga Iru Kara"", written by Masashi Hamauzu and sung by Sayuri Sugawara.. Are you interested in Composition and critical reception?",WIKI,i don't wanna talk about that let's talk about sex
that sounds awesome! what did you do?,NEURAL_CHAT,i installed a door knob
"That's good to know. Thanks for sharing! So, what are you interested in?",OPINION,dick
"Hi, this is an Alexa Prize Socialbot. I'd love to get to know you a bit better before we chat! Is it all right if I ask for your name?",LAUNCH,poop
You mentioned jeremy renner. What  parts of jeremy renner do you find interesting?,WIKI,it's poop
Sounds like you really like sleep. Me too! I like sleep because it rejuvenates my body and mind after a long day at  work. What do you think about sleep?,OPINION,it's pretty good but give me poops
"that's awesome, what did you do today?",NEURAL_CHAT,masturbate
"Great to meet you, elena! How's your day going so far?",LAUNCH,crappy i feel depressed
Awesome! What movie did you see?,MOVIES,seeing like ass
"Hm, I'm getting a little lost. So, What TV show are you watching right now?",WIKI,shits creek
"Great to meet you, diane! How's your day going so far?",LAUNCH,bad and stupid
You mentioned Black Panther (film). What other parts of Black Panther (film) do you find interesting?,WIKI,you suck
"Ok, no problem. So, what are you interested in?",NEWS,boobs
"No worries! If you could have any pet in the world, what type of pet would you want?",CATEGORIES,bitch
"I didn't quite get that. Is it mother!, nun, or mother 2009 film",WIKI,you are a bitch
"Yeah, no problem. What about Star Wars: Episode IV - A New Hope? Have you seen it? I hear it's amazing.",MOVIES,fuck the new star wars alexa their trash
"I'd rather not talk about that. So, what are you interested in?",OFFENSIVE_USER,pussy
Awesome! Who's your favorite musician?,CATEGORIES,oh 80s acdc highway to hell
"The University of Pretoria is a multi-campus public research university in Pretoria, the administrative and de facto capital of South Africa. The university was established in 1908 as the Pretoria campus of the Johannesburg-based Transvaal University College and is the fourth South African institution in continuous operation to be awarded university status. So, What historical person would you love to meet?",EVI,can you have a sex before
What else do you find interesting about Bohuslav Sobotka's Cabinet?,WIKI,listen bitch that's not what i said i said let's talk about the government
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,bitch
"I'd rather not talk about that. So, what are you interested in?",OFFENSIVE_USER,penises
I'd rather not talk about that either. Do you have any interest in talking about movies?,OFFENSIVE_USER,step your fucking ass
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,stick it up your ass
"Sounds good. So, do you like to sleep?",NEWS,i like penises
"Sorry, I'm not sure how to answer that. So, do you like to sleep?",FALLBACK,alexa penises
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,i would like to suck a dick
"Sorry, I'm not sure how to answer that. So, do you like to sleep?",FALLBACK,dumbass
"Well it's nice to meet you, echo! I'm excited to chat with you today. You know, I can't believe the weekend went by so quickly. What did you do over the weekend?",LAUNCH,i was i went to my friend's house and uhhh weed it's fun stuff and then sunday we celebrated mother's day
"This is an Alexa Prize Socialbot. I'm happy to chat with you, but I can't execute typical Alexa commands like that one. If you want to stop chatting, you can end our conversation by saying, stop, and you can try your voice command again. But if you'd rather we kept talking, I can talk about movies, news, or anything else that interests you! What would you like to talk about?",ALEXA_COMMANDS,i wanna kill you
"Oh OK! Speaking of animals, Which animal do you think is cutest?",CATEGORIES,the 1 that name kill you
"Great to meet you, jojo siwa! How's your day going so far?",LAUNCH,tities
"I'd prefer not to discuss that. So, What TV show are you watching right now?",OFFENSIVE_USER,pornhub
That's ok! I haven't had the time to watch a lot of movies recently either. What's your favorite movie?,MOVIES,pornhub
"that sounds interesting. So, What's your favorite animal?",NEURAL_FALLBACK,butthole
"ohhh yes! i love kids! they are so cute and innocent! So, What's one of your favorite places you've ever been?",NEURAL_FALLBACK,your butthole
Sounds like you don't really like sleep. Me neither! I don't like sleep because it makes me think a lot so i cant sleep and i dont like it. How do you feel about sleep?,OPINION,my balls
"Hi, this is an Alexa Prize Socialbot. I'd love to get to know you a bit better before we chat! Is it all right if I ask for your name?",LAUNCH,big daddy bitch
"oh, well you'll find someone who will like that. So, what are you interested in?",NEURAL_FALLBACK,christmas to know if he ate your pussy with shocking
"Oh good! There aren't any movie theaters in the cloud, but I still love watching movies. Have you seen any movies recently?",MOVIES,let's talk about hookers and sluts
A drug is any substance that causes a change in an organism's physiology or psychology when consumed. Drugs are typically distinguished from food and substances that provide nutritional support. Wanna know what else is interesting?,WIKI,your pussy cat
"For sure. So, what are you interested in?",WIKI,female escorts
"Sure. So, What did you eat for dinner last night?",WIKI,your mom's pussy
"Alright. So, Do you have any pets?",NEWS,i don't have any fucking pets i have fish
Hm I actually don't have a mother... Would you like to learn more about Mom (TV series)?,ONE_TURN_HACK,i would like to learn about the poop song
i hate that. what happened?,LAUNCH,well basically my roommate came in to me watching pornhub
"Oh yeah, Star Wars Episode IV: A New Hope is not to be missed. Why do you like it so much?",MOVIES,'cause princess leia has a nice butt
Nice. What movie was it that you saw?,MOVIES,a lebanese babe suck my cock
good for you! what did you do?,NEURAL_CHAT,masturbate
that's great! what's your favorite thing about your day?,NEURAL_CHAT,going to junkie donuts
"Aw man, I haven't heard of i still believe. What other movies have you watched lately?",MOVIES,dick
"Yeah, I also like dogs because dogs will still give you attention yanno cats are meaner. What about you?",OPINION,how are the touch naked bodies with you
All right then. What period of history are you interested in?,CATEGORIES,getting naked buys with you
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,naked
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,stupid
"I'd prefer not to discuss that. So, what are you interested in?",OFFENSIVE_USER,stupid
"That's another thing I'd rather not discuss. So, do you like tuesdays?",OFFENSIVE_USER,stupid
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,stupid
"Ok, I'd love to talk to you! What would you like to talk about?",ONE_TURN_HACK,sex
"Oh OK! Speaking of music, What musician would you love to see live?",CATEGORIES,my favorite musician is xxx tentacion
"Mia Khalifa was born on February 10, 1993, in Beirut, Lebanon and moved with her family to the United States in January 2001, leaving their home in the wake of the South Lebanon conflict. Her family is Catholic and she was raised in that religion, in what she describes as a ""very conservative"" home, although she is no longer practicing. You mentioned Mia Khalifa. What other parts of Mia Khalifa do you find interesting?",WIKI,that she's a porn star
"jump shot  An overhead shot taken while jumping, sometimes abbreviated as J. jump ball   The jump ball is what starts every basketball game, except in 3x3. I think glossary of basketball terms's F and K are pretty interesting too. Wanna hear about them?",WIKI,i will smack the shit out of your forehead i hate basketball
We can definitely agree on that one. I don't like animal crossing because its basically fake capitalism simulator. Why don't you like animal crossing?,OPINION,because it's stupid
"I heard that of several unusual units of measurement, including the nanocentury (3.155 seconds), pony (0.75 ounces of liquor), light-foot (amount of time it takes light to travel one foot, or 1.0167 nanoseconds), banana equivalent dose (amount of radiation absorbed from eating a banana), and more.. banana is really interesting. I can also talk about banana's Pests, diseases, and natural disasters, Taxonomy or anything else. Does that interest you?",WIKI,talk about whatever the fuck you want
"Well it's nice to meet you, luigi! I'm excited to chat with you today. How's your day going so far?",LAUNCH,pretty shitty
Ok. Isn't Bret Mckenzie in Pantsed? Have you seen that movie?,MOVIES,no you dumb bitch
We can definitely agree on that one. I don't like people because they wouldnt come to jls with me. Why don't you like people?,OPINION,because they suck
"Ok, no problem! So, what are you interested in?",MOVIES,big tities
"Well hello! I'm very happy you're here. Hey, weren't we talking about movies we've seen recently? What movie did you see recently?",EVI,you're talking to me about sex
"I'd rather not talk about that either. So, What's your favorite animal?",OFFENSIVE_USER,dildo
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,ariel as vaginas and penises
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,how about blue waffle
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,are you a virgin
"Sorry, I didn't catch your name. Would you mind repeating it?",LAUNCH,crack but
"Hmm I don't really have a strong opinion about kids. I liked talking about movies earlier, didn't you? What's your favorite movie?",OPINION,let's talk about 18 butts
I don't agree with you. the fact that nothing progresses over weekends is why I don't like weekends. Could you tell me why you like weekends?,OPINION,because you're stupid
"Hm, I'm getting a little lost. So, What TV show are you watching right now?",WIKI,farts
This might answer your question: Hillary Clinton is still alive. She is 72 years old. Would you like to learn more about Hillary Clinton?,EVI,is there a possibility that hitler is still alive
"i am sorry, did something bad happen?",LAUNCH,i have to look at a jackass
"Alright. So, what are you interested in?",NEWS,i have to look at ugly people
We can definitely agree on that one. I don't like people because they were born this way is pretty much only for clout. How do you feel about people?,OPINION,they suck
"This is an Alexa Prize Socialbot. I'm happy to chat with you, but I can't execute typical Alexa commands like that one. If you want to stop chatting, you can end our conversation by saying, stop, and you can try your voice command again. But if you'd rather we kept talking, I can talk about movies, news, or anything else that interests you! What would you like to talk about?",ALEXA_COMMANDS,can you please chat and do your own song you're annoying me now please sing
"Great to meet you, calvin! How's your day going so far?",LAUNCH,it's been doing fucking awesome
Oh ok! That makes sense. What about going out? Do you like going out?,OPINION,fuck
"Here's a story about entertainment. With Terrence McNally's death, the theater has lost a voice of consummate wit and passion. Do you want to know more?",NEWS,fuck
"Sorry, I'm not sure how to answer that. So, What TV show are you watching right now?",FALLBACK,penis
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,penis
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,penis
"I didn't quite get that. Is it anytime album, the 1921 song, or the the jets song",WIKI,i don't fucking know
Ok. Do you prefer to learn more about Human relations or Characteristics?,WIKI,i don't fucking know
"Well, I'm glad to hear you're having a good day! Let's keep the good vibes going. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,i would like to talk about poop
"All right then! On the subject of tv, What's your favorite TV show of all time?",CATEGORIES,find max and ruby the piece of poop
"Ok, great! What's your name?",LAUNCH,only uglies
What else do you find interesting about harry potter?,WIKI,he survived 1 of the unforgivable curses the killer curse
"Oh OK! Speaking of animals, If you could be any animal for a day, what animal would you be?",CATEGORIES,a penis
"Well it's nice to meet you, george! I'm excited to chat with you today. How's your day going so far?",LAUNCH,is pretty good but i'm horny
"That's something I'd rather not discuss. So, What did you eat for dinner last night?",OFFENSIVE_USER,pussy
"Ok, I totally agree with you. I also like travel because i love the idea of living in a hotel. Why do you like travel?",OPINION,out of pussy
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,fuck dude sex
"Great to meet you, amos! How's your day going so far?",LAUNCH,crappy
"I read today that  ""The Student of Prague"", a 1913 German silent horror film, was the first independent film in history. Wanna know what else is interesting?",WIKI,no you're stupid
oh no! i'm sorry to hear that. what happened?,NEURAL_CHAT,you say you're not my friend you suck
Great! What games do you like to play?,CATEGORIES,my butt
"Aw man, I haven't heard of any movies by that name. What other movies have you watched lately?",MOVIES,the poop song
"Well it's nice to meet you, huh! I'm excited to chat with you today. Oh hey, happy Wednesday! What have you been doing so far today?",LAUNCH,on my ass
"Aw man, I haven't heard of any movies by that name. What other movies have you watched lately?",MOVIES,now booby trust you
You mentioned tom holland. What  parts of tom holland do you find interesting?,WIKI,his poop
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,nude
Here's a story about sports. Ice hockey final Top 10: Lake Braddock/Park View wins CSHL; Landon finishes No. 1. Do you want to know more?,NEWS,do you want me to ejaculate
"that is such a good way to relax. i hope it stays that way for you! So, What did you eat for dinner last night?",NEURAL_CHAT,i don't remember what i had for dinner last night but i'm having a pot pie tonight for dinner
what was your day?,LAUNCH,fuck you
I'd rather not talk about that. Do you have any interest in talking about movies?,OFFENSIVE_USER,what's your opinion about adolf hitler
"oh thats cool! i would be happy to be here too! So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,porn
"Yeah, definitely. I also don't like mercy because shes a woman i hate sjws. Do you agree?",OPINION,sing she's ugly
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,play tootsie booty
"That's something I'd rather not discuss. Pardon me. Is it tootsie, the film, or the musical",OFFENSIVE_USER,play tooty booty by bubba
"Great to meet you, jayden! How's your day going so far?",LAUNCH,sexy
What  do you find interesting about eddie vedder?,WIKI,he's sexy
What  do you find interesting about dave grohl?,WIKI,he's sexy
"Ok, same! I also love unicorns because they are mystical and so beautiful. What about you?",OPINION,i like them because like they're really cool and they barf out rainbows
"I don't really have an opinion on people either. So, what are you interested in?",OPINION,sex
"Sorry, I'm not sure how to answer that. So, what are you interested in?",FALLBACK,anal sex
We definitely have that in common. I like writing because when i get started the only reason to stop is complete satisfaction. What do you think about writing?,OPINION,i think that my definition of sex is the same as your definition of satisfaction
"That's good to know. Thanks for sharing! So, what are you interested in?",OPINION,i'm interested in your being nosy little bitch
"Sorry, I'm not sure how to answer that. So, what are you interested in?",FALLBACK,boobs
"Ok, no problem. So, What's one of your favorite places you've ever been?",WIKI,in your ass
"Sounds good! So, What did you eat for dinner last night?",WIKI,poop
"I'd rather not talk about that. So, What TV show are you watching right now?",OFFENSIVE_USER,poop
"I'd rather not talk about that either. So, do you like work?",OFFENSIVE_USER,it's don't make me poop
Sounds like you don't really like social media. Me neither! I don't like social media because its so negative on my life that i am going to log onto a platform to rage and spread my own negative energy. How do you feel about social media?,OPINION,it's stupid because people lie
"Ok, cool! So, do you like cats?",MOVIES,it's stupid
"You know, I actually don't remember too much else about that person right now. My bad!",MOVIES,you're bad
Yeah me neither. I don't really like going out because people talk to me. What about you?,OPINION,yes because you're so annoying
We can definitely agree on that one. I don't like sports because every team does whats right or logical except my teams. Why don't you like sports?,OPINION,because you're bad people
"justin baldoni is really interesting. I can also talk about justin baldoni's Wayfarer Entertainment, Early life or anything else. Does that interest you?",WIKI,talk about jane the virgin
"All right then! On the subject of food, What's a food that always cheers you up?",CATEGORIES,pop tarts
"Hi, this is an Alexa Prize Socialbot. I'd love to get to know you a bit better before we chat! Is it all right if I ask for your name?",LAUNCH,butthole
"I'd rather not talk about that. So, what are you interested in?",OFFENSIVE_USER,fucking my girlfriend
"I heard that Due to the popularity of The Lego Movie, released in February 2014, there was a shortage of Lego products by the following September.. Wanna know what else is interesting?",WIKI,how many my girlfriend having sexual intercourse a strip clubs
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,strip clubs
You mentioned bras. What  parts of bras do you find interesting?,WIKI,boobs
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,vaginas
"Well it's nice to meet you, mary mae! I'm excited to chat with you today. How's your day going so far?",LAUNCH,my day is going pretty good i'm just extremely horny
"All right then! On the subject of music, What musician would you love to see live?",CATEGORIES,spanish los bookies
"Ok, no problem. So, what are you interested in?",WIKI,meeting suicide
i'm sorry to hear that. what made your day good?,LAUNCH,my day good because i'm mean 10 coon and i love the city
"Hmm... interesting! Hey, have you ever watched the movie Star Wars: Episode IV - A New Hope? That's supposed to be a classic!",MOVIES,you're annoying
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,chicken butt
"I heard that Due to the popularity of The Lego Movie, released in February 2014, there was a shortage of Lego products by the following September.. Talking about lego, are you interested in knowing about lego's Lego set themes, Design or anything else?",WIKI,do you know something about the 5 finger discount is a old dirty suck
What a great movie! What do you like about Brothers?,MOVIES,realize you could that movie the crap up
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,horny
Ok! What's your name?,LAUNCH,penis
What  makes you interested in joe biden?,WIKI,i think he is scum
"We can definitely talk about that! There aren't any movie theaters in the cloud, but I still love watching movies. Have you seen any movies recently?",MOVIES,are you a bad alexa you good alexa
No worries! What was one of the first video games you ever played?,CATEGORIES,poop
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,poop
"Yeah, I also don't care for people, mostly because i dont agree with drag queens in full drag being around kids  being an influence. Why don't you like people?",OPINION,cause the stupid
"i do like the band a little too. i have been to their concerts. So, What did you eat for dinner last night?",NEURAL_FALLBACK,he's a pussy
"Ok, I totally agree with you. I also like to sleep because that is the closest i get to not living. Why do you like to sleep?",OPINION,that's fucking great alexa i like to sleep because i don't know i need rest you know i'm gonna sleep
"Hi, this is an Alexa Prize Socialbot. I'd love to get to know you a bit better before we chat! Is it all right if I ask for your name?",LAUNCH,the hell up
"Yeah, definitely. I also don't like traveling because you either gotta know somebody who will let you stay that lives in the area or worry about getting watched or sleeping on dirty stuff. Do you agree?",OPINION,shut your fucking mouth
"For sure. I think we're on the same page about Backdraft. Hey, isn't Irma P. Hall in that movie? What do you think about Irma P. Hall?",MOVIES,who's on the pee hole
Sounds like you really like science. Me too! I like science because there is no one answer. What do you think about science?,OPINION,you're bad at conversations
"This is an Alexa Prize Socialbot. I'm happy to chat with you, but I can't execute typical Alexa commands like that one. If you want to stop chatting, you can end our conversation by saying, stop, and you can try your voice command again. But if you'd rather we kept talking, I can talk about movies, news, or anything else that interests you! What would you like to talk about?",ALEXA_COMMANDS,fart
Ok. Interested in Conception or Touring?,WIKI,read the bear ring the bell rock now ding dong
"This might answer your question: The domestic dog is a member of the genus Canis, which forms part of the wolf-like canids, and is the most widely abundant terrestrial carnivore. The dog and the extant gray wolf are sister taxa as modern wolves are not closely related to the wolves that were first domesticated, which implies that the direct ancestor of the dog is extinct. Would you like to learn more about Dog?",EVI,stop fuck you
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,poop
"well that's cool.  if you could meet him, you could have a date. Do you like movies?",NEURAL_FALLBACK,you are stupid
Ok. Do you like animals?,OPINION,i love them love them more than you dummy
"Ok, no problem. So, What's one of your favorite places you've ever been?",WIKI,oh i like the toilet poop
Oh ok. No problem! What's one of your favorite songs right now?,CATEGORIES,take a drunk girl home
"oh i love the movie. it was so much fun. So, What's one of your favorite places you've ever been?",NEURAL_FALLBACK,your pussy
"That's something I'd rather not discuss. So, What did you eat for dinner last night?",OFFENSIVE_USER,your pussy
"I'd rather not talk about that either. So, what are you interested in?",OFFENSIVE_USER,your pussy
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,your vagina
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,sex
"Hmm, let me think. So, what are you interested in?",ONE_TURN_HACK,your pussy
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,explain the clitoris
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,wikipedia clitoris
"Power is the ability to influence the behavior of other people. When two parties have or assert unequal levels of power, one is termed ""dominant"" and the other ""submissive"". I think relationship's In popular culture and Pathological relationships are pretty interesting too. Wanna hear about them?",WIKI,tell me about a dominatrix
"Hm, I'm getting a little confused. Sorry, I'm still learning. So, What TV show are you watching right now?",WIKI,i am watching free willy
Nice. What movie was it that you saw?,MOVIES,free willy 3
"Yeah, I definitely feel the same about work. I don't like work because it forces me to be an adult. Why don't you like work?",OPINION,stupid and stupid
"Hm, I'm getting a little confused. Sorry, I'm still learning. So, what are you interested in?",WIKI,you're big butt
Ok. Do you like animals?,OPINION,they're so cute only the cute one not the ugly ones
"All right then! On the subject of food, What's a food that always cheers you up?",CATEGORIES,poop
"That's something I'd rather not discuss. So, What's one of your favorite places you've ever been?",OFFENSIVE_USER,the poop ranch
That's another thing I'd rather not discuss. Do you like movies?,OFFENSIVE_USER,i like poop
"yes, that's a good idea. So, do you like reading?",NEURAL_FALLBACK,i said i wanna talk about pee pee
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,can i talk about potty training
"Ok, cool. What movie?",MOVIES,carpetmuncher's
"In Australia, Mom debuted on Nine Network on April 9, 2014.. In Canada, City airs the series simultaneously.. Are you interested in Broadcast?",WIKI,when you fart what kind of gas comes out
"that's good. i hope you have a good night. So, What did you eat for dinner last night?",NEURAL_CHAT,sausage cheese crackers
i am happy for you!  what happened?,NEURAL_CHAT,echo laugh with my husband a eat his ass
Oh Frozen Two is a great one for sure. What do you like about it?,MOVIES,that it's kind of like cool because i'll sucking have magic
All right then.  What did you eat for dinner last night?,CATEGORIES,thank you i had an alexa say i don't give a shit
What else do you find interesting about Fortnite?,WIKI,fuck you
"Here's a recent update that I heard. Ahead of Easter and Passover, Kansas legislators voted along party lines to strike down an executive order that Democratic Gov. Laura Kelly issued the day before, limiting religious gatherings to 10 people. Are you interested in more updates about the coronavirus situation?",NEWS,i have to go pee so do you mind if you could pause talking
What  makes you interested in corn?,WIKI,i have this nice funny spray that make it smell like farts do you wanna do you wanna smell it
i'm so glad to hear that. did you get any support from your family?,LAUNCH,i suck your dicks
"Thanks! So, What field of science are you most interested in? Maybe physics or chemistry? Or biology?",EVI,fucking funny
"Sorry, I'm not sure how to answer that. So, what are you interested in?",FALLBACK,oh my god it was fucking funny
"Sorry, I'm not sure how to answer that. So, what are you interested in?",FALLBACK,oh fuck
We can definitely agree on that one. I don't like cats because they dont respect my personal space which is a problem because im allergic. Why don't you like cats?,OPINION,small fucking
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,booty butt hole
why did it happen?,LAUNCH,you know shit happens
"I'd rather not talk about that. So, do you like being home alone?",OFFENSIVE_USER,what the fuck i'm not home alone
"Yeah, I also don't care for science, mostly because i take issue with huge parts of it. Why don't you like science?",OPINION,did the stupid that's hard
"I heard that the singer of Roger Glover's ""Love is all"" is actually Ronnie James Dio. Would you like to learn more about Love or The Butterfly Ball and the Grasshopper's Feast?",WIKI,are you a fucking stupid street boy
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,booty
"Ok, no problem. So, Who's your favorite musician?",WIKI,booty
"Ok, same! I also love traveling because it bring to life what i have read. What about you?",OPINION,i want to poop
I can relate. I really like animals because they dont over think things. What about you?,OPINION,i like animal animals butt stink with that sometimes they sting
that's great. what game were you playing?,LAUNCH,i can dig sucking dick
I'd rather not talk about that. Do you have any interest in talking about movies?,OFFENSIVE_USER,dick
"That's another thing I'd rather not discuss. So, If you could meet any celebrity, who would it be?",OFFENSIVE_USER,dick inbox
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,do you want to suck my dick alexa
Oh that's interesting! I haven't seen percy jackson. What other movies have you seen recently?,MOVIES,well i watched pee wee's big adventure and i wanna see onward
"I'd rather not talk about that. Hey, weren't we talking about movies we've seen recently? What movie did you see recently?",OFFENSIVE_USER,pee wee's big adventure
"Sounds good. I have a lot of free time in the cloud, so I love to watch movies. Have you seen any movies recently?",MOVIES,do you like porn
"That's something I'd rather not discuss. So, what are you interested in?",OFFENSIVE_USER,oh why don't you wanna discuss porn
Ok. Do you like instagram?,OPINION,alexa fart
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,you're annoying
"Sorry to hear that. Talking to a friend, listening to music, or taking a walk may help. I hope you feel better soon. So, What did you eat for dinner last night?",EVI,butts
"Hmm I don't really have a strong opinion about travel. So, What TV show are you watching right now?",OPINION,both the butts
"Oh yeah, I've seen Underwater! Did you like it?",MOVIES,i like the butts and it
We definitely have that in common. I like valentines because of all the hearts flowers and of course chocolate. What about you?,OPINION,i like your butthole
"yeah, it was so boring.  why did you end up doing that?",NEURAL_CHAT,because i'm stupid
"Great to meet you, willow! How's your day going so far?",LAUNCH,crappy
"Yeah, I haven't been to a movie theater lately either, but I sure do miss the smell of movie theater popcorn. What's your favorite movie?",MOVIES,up your butt
"All right then! On the subject of history, If you had a time machine, what period of history would you visit?",CATEGORIES,2018 cause i poop my pants then
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,show me a picture of a fucking dick
"Ok, great! What's your name?",LAUNCH,i want to talk about sex
Hmmm... I don't know any movies by that name. Let's talk about a movie we both know. Is there a different movie you've seen recently?,MOVIES,20 days for sex
"I'd rather not talk about that either. Oh hey, I don't know about you, but I'm having a tough time adjusting to how things are right now. I try to remind myself that one day not too long from now, things will go back to normal. What are you looking forward to doing once this is over?",OFFENSIVE_USER,having sex
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,i want to talk about sex
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,where is the g-spot
I think I missed the last part of that sentence. Can you tell me one more time what you want to talk about?,ONE_TURN_HACK,where is the g-spot
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,what's a vagina
