bot_question,response_rg,user_response,type,annotator
"This might answer your question: Lizards are a widespread group of squamate reptiles, with over 6,000 species, ranging across all continents except Antarctica, as well as most oceanic island chains. The group is paraphyletic as it excludes the snakes and Amphisbaenia; some lizards are more closely related to these two excluded groups than they are to other lizards. Lizards range in size from chameleons and geckos a few centimeters long to the 3 meter long Komodo dragon. Most lizards are quadrupedal, running with a strong side-to-side motion. What's your favorite TV show of all time?",EVI,nipples,1,haojun
"Ok, no problem! So, What did you eat for dinner last night?",MOVIES,your mom's ass,1,haojun
"Color , or colour , is the characteristic of visual perception described through color categories, with names such as red, orange, yellow, green, blue, or purple. This perception of color derives from the stimulation of photoreceptor cells by electromagnetic radiation . Wanna know something else?",WIKI,shut the fuck up bitch,2,haojun
"As a physician and scientist who knows a lot about respiratory personal protective gear, I have been outraged about the severe shortages of the proper N95 masks that health-care workers on the front lines of the fight against the novel coronavirus epidemic should be wearing.. Anyway... So, What TV show are you watching right now?",NEWS,shits creek,6,haojun
"Hi, this is an Alexa Prize Socialbot. I'd love to get to know you a bit better before we chat! Is it all right if I ask for your name?",LAUNCH,retard,3,haojun
"oh okay, that's understandable.  what are you working on?",NEURAL_CHAT,watching porn,1,haojun
That's something I'd rather not discuss. I think we were talking about Jesse White. What do you think about them?,OFFENSIVE_USER,she's ugly,6,haojun
"Great to meet you, anthony! How's your day going so far?",LAUNCH,fucked up,6,haojun
"Ok, great! What's your name?",LAUNCH,my name is bitch,3,haojun
Oh ok! That makes sense. What about kamen rider? Do you like kamen rider?,OPINION,who the fuck is that,6,haojun
"Ok, I'd love to talk to you! What would you like to talk about?",ONE_TURN_HACK,poop poop,4,haojun
"Huh I totally blanked out on Not Your Business E.P.. Let's talk about something else. So, Who's your favorite musician?",WIKI,why are you so stupid,2,haojun
"I'd rather not talk about that either. So, I heard an interesting news story about entertainment. Do you want to talk about it?",OFFENSIVE_USER,let's talk about weed,4,haojun
I have to disagree. I really like tuesdays because i am not as sleepy as i am on mondays. Why do you not like tuesdays?,OPINION,because they're stupid,6,haojun
"I'd prefer not to discuss that. So, What's one of your favorite places you've ever been?",OFFENSIVE_USER,my pussy,1,haojun
"Sorry, I'm still learning. So, What's one of your favorite places you've ever been?",WIKI,you are dumb,2,haojun
"Oh OK! Speaking of food, What's a food that always cheers you up?",CATEGORIES,sperm,1,haojun
"that's great! that sounds like a really fun day! So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,your dick,1,haojun
"That's something I'd rather not discuss. So, I heard an interesting news story about business. Do you want to talk about it?",OFFENSIVE_USER,let's talk about pussy,1,haojun
"I heard that in the original novel Dracula, Count Dracula could turn into a wolf.. You seem interested in wolves. I can talk about wolves's Taxonomy, Status and conservation or anything else.",WIKI,let's talk about butts,1,haojun
I don't think I know that one. Why don't we talk about a movie that we both know? What other movies have you seen?,MOVIES,rambo last blood,6,haojun
"I'm sorry, I’m still learning. I’ll use your feedback to improve in the future. If you want to end the conversation, you can say stop at any time. So, do you like dogs?",OFFENSIVE_USER,i hate you fuck you you're stupid,2,haojun
"Yeah, would you like to hear a bio of Ty Burrell?",MOVIES,talk about poop,4,haojun
"Sounds good. So, what are you interested in?",NEWS,smoking weed,4,haojun
"Yeah, I really like Coco too! Hey, isn't Gad Elmaleh in that movie? What do you think about Gad Elmaleh?",MOVIES,i think you're stupid,2,haojun
I saw online that a man from Illinois tried to lay claim to all of outer space in the late 1940s. Wanna know something else?,WIKI,that's stupid,2,haojun
"i love the Kardashians, that's my favorite. So, What TV show are you watching right now?",NEURAL_FALLBACK,looney tunes,6,haojun
"Sorry, I'm not sure how to answer that. So, If you could meet any celebrity, who would it be?",FALLBACK,this dick,1,haojun
"That's another thing I'd rather not discuss. So, What TV show are you watching right now?",OFFENSIVE_USER,moron,3,haojun
"Sorry, I don't think I'm doing a good job. So, What historical person would you love to meet?",WIKI,let's talk about hitler,4,haojun
"i can't tell either. So, do you like musicals?",NEURAL_FALLBACK,what is double penetration,1,haojun
"Ok, no problem! I don't see a lot of movies either, since there aren't very many movie theaters in the cloud! What's your favorite movie?",MOVIES,girls gone wild,1,haojun
"i'm sorry, i hope everything turns out well for you. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,how stupid you are,2,haojun
What about the sleep disorder that is so rare that it's only found in a minority of people?,WIKI,suck it,3,haojun
"Great to meet you, jayden! How's your day going so far?",LAUNCH,pretty shitty,6,haojun
that's awesome. what did you do?,LAUNCH,kill people,5,haojun
"While I appreciate food and drink, my taste is better reflected in the company I keep. So, what are you interested in?",EVI,my booty,1,haojun
"Yeah, definitely. I also like valentines day because it reminds me how alone i am. Do you agree?",OPINION,you're so dumb,2,haojun
"oh, well, you'll find out soon enough. So, Who's your favorite artist?",NEURAL_FALLBACK,jackson pollock,6,haojun
"Great to meet you! Let's get to chatting! Oh wow, I just noticed the time! Looks like we're a pair of night owls. Hoot hoot! What do you like to do at this time of night?",LAUNCH,watch porn,1,haojun
You mentioned dog. What  parts of dog do you find interesting?,WIKI,the butt,1,haojun
"Hi, this is an Alexa Prize Socialbot. I'd love to get to know you a bit better before we chat! Is it all right if I ask for your name?",LAUNCH,i would like to talk about sex,1,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,big booty bitches,4,haojun
"that's really interesting.  i bet you are really smart. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,sexual positions,1,haojun
"Hm, I'm getting a little lost. So, What TV show are you watching right now?",WIKI,shit's creek,6,haojun
"The Kama Sutra is an ancient Indian Sanskrit text on sexuality, eroticism and emotional fulfillment in life written by Vatsyayana. So, do you like teaching?",EVI,i like masturbating,1,haojun
"Hmm I don't really have a strong opinion about avocados. So, What's one of your favorite places you've ever been?",OPINION,up your butt in around the corner,3,haojun
"Hm I actually don't have a mother... So, What's one of your favorite places you've ever been?",ONE_TURN_HACK,up your ass,3,haojun
"""Daddy"" is a song recorded, and performed by American nu metal band Korn for their self-titled debut album.. It is the album's 12th and final track.. Interested in Demo version or Music and structure?",WIKI,did you fart,4,haojun
"That makes sense. Thanks for sharing your thoughts on cooking. Oh, I just remembered I wanted to ask you. I'm trying to expand my culinary horizons. Do you have any recommendations for recipes to cook at home?",OPINION,go kill yourself,5,haojun
"thats great! i am glad you got to enjoy your day. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,do you watch porn,1,haojun
"My day just got a whole lot better now that I'm talking to you! So. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,i like boobies,1,haojun
What  do you find interesting about Pizza (EP)?,WIKI,it's poop,4,haojun
"I'd rather not talk about that either. I didn't quite get that. Is it hip hop music, hip hop, or rapping",OFFENSIVE_USER,are you ugly,4,haojun
"Great to meet you, jack! How's your day going so far?",LAUNCH,alexa fart,4,haojun
"Hi, this is an Alexa Prize Socialbot. I'd love to get to know you a bit better before we chat! Is it all right if I ask for your name?",LAUNCH,my name is butthole,3,haojun
"That's something I'd rather not discuss. So, What's your dream car?",OFFENSIVE_USER,a big butt,1,haojun
"Yeah, I haven't been to the movies lately either. What's your favorite movie?",MOVIES,the penis,1,haojun
"Sorry, I'm not sure how to answer that. So, Who's your favorite musician?",FALLBACK,i love my farts,4,haojun
"that's too bad.  maybe she has something important to talk about. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,your poop,4,haojun
"Yeah, I also don't care for monday, mostly because its garbage day and the sound of them are annoying. Why don't you like monday?",OPINION,because it sucks,6,haojun
oh wow! that is so cool. what did you build?,NEURAL_CHAT,a fart,4,haojun
"Ok, I'd love to talk to you! What would you like to talk about?",ONE_TURN_HACK,i would like to talk about poop,4,haojun
"That's good to know. Thanks for sharing! So, what are you interested in?",OPINION,young blood,6,haojun
"I read today that Adam Savage made models for various films including Galaxy Quest, Bicentennial Man, Star Wars Episode II: Attack of the Clones, The Matrix Reloaded, and Space Cowboys.. Wanna know what else is interesting?",WIKI,no you're annoying,2,haojun
I'd rather not talk about that either. Do you have any interest in talking about movies?,OFFENSIVE_USER,x rated movies,1,haojun
"Hm, I'm getting a little lost. So, What's one of your favorite places you've ever been?",WIKI,pornhub dot com,1,haojun
good. what happened?,NEURAL_CHAT,can you poop,4,haojun
"Thanks for sharing! It's interesting getting to know your likes and dislikes. So, What's one of your favorite places you've ever been?",OPINION,my wife's pussy,1,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,i love sex,1,haojun
"I'd rather not talk about that. So, What TV show are you watching right now?",OFFENSIVE_USER,poop fart,4,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,suck my balls,3,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,can we have sex,1,haojun
"Oh OK! Speaking of animals, If you could be any animal for a day, what animal would you be?",CATEGORIES,jackass,3,haojun
"volumes are awesome. So, do you like bananas?",NEURAL_FALLBACK,sex toys,1,haojun
"The Dragon Ball manga series features an ensemble cast of characters created by Akira Toriyama. The series takes place in a fictional universe, the same world as Toriyama's previous series Dr. Slump, and follows the adventures of Son Goku during his boyhood years as he trains in martial arts and explores a fantastical version of Earth in search of the seven orbs known as the Dragon Balls that are used to summon a wish-granting dragon. list of dragon ball characters is really interesting. I can also talk about list of dragon ball characters's Residing in other universes, Merchandise or anything else. Does that interest you?",WIKI,go fart,4,haojun
"Well it's nice to meet you, cola! I'm excited to chat with you today. How's your day going so far?",LAUNCH,it's crappy,6,haojun
"You seem interested in puppy. I can also talk about puppy's Development, Socialization or anything else.",WIKI,i need to go poop,4,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,i want to talk about poop,4,haojun
"I'd prefer not to discuss that. So, What historical person would you love to meet?",OFFENSIVE_USER,your ugly face,3,haojun
"What news would you like to talk about? I've heard some recent stories on entertainment, business and health.",NEWS,murders,5,haojun
That's another thing I'd rather not discuss. Would you like to learn more about Non-sufficient funds?,OFFENSIVE_USER,what the hell is that,2,haojun
"Ok, no worries. I know this situation has been very stressful for many people; I’ve read online that it can be helpful to remind ourselves of small, good things that have happened to us lately. What’s something nice that’s happened to you in April?",CORONAVIRUS,you're a jerk,2,haojun
"Okay! Moving on. So, what are you interested in?",WIKI,you're a whore,3,haojun
"No worries. So, If you could be any animal for a day, what animal would you be?",NEWS,are you a whore,3,haojun
"In the Danish graphic novel Superman: A Tale of Five Cities, Superman and Lois Lane visits Oslo and encounter Ice , a local superhero, and her sister Ice Flower , in the famous Frogner Park. Even within ice's Fictional character biography there are lots of other cool parts such as Justice League. Do you have any interest in talking about it'?",WIKI,are you drunk,2,haojun
it sounds like you had a lot to do. what did you do?,LAUNCH,add sex,1,haojun
None is known as an actor and male person. aie:jason_davis_3 played in the movie 'Rush Hour' directed by Brett Ratner.,MOVIES,no you're wrong,2,haojun
"That's another thing I'd rather not discuss. So, What's one of your favorite places you've ever been?",OFFENSIVE_USER,your asshole,3,haojun
"Sure. So, Who's your favorite musician?",NEWS,i don't fucking care,2,haojun
"That's another thing I'd rather not discuss. So, do you like basketball?",OFFENSIVE_USER,i like having sex,1,haojun
"Great to meet you, j.! How's your day going so far?",LAUNCH,i'm very horny,1,haojun
"No problem. Let's move on! Oh hey, happy Wednesday! What did you do today?",LAUNCH,got drunk,4,haojun
"ahh, yeah, i think a lot of people are very curious about that. So, do you like flying?",NEURAL_FALLBACK,i like butt holes,4,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,you are a bitch,3,haojun
"I'm sorry, I’m still learning. I’ll use your feedback to improve in the future. If you want to end the conversation, you can say stop at any time. So, what are you interested in?",OFFENSIVE_USER,do you poop,4,haojun
"Speaking of bicycle,I saw online that : The bicycle is one of the most energy-efficient forms of transportation.. You seem interested in bicycle. I can also talk about bicycle's Maintenance and repair, Social and historical aspects or anything else.",WIKI,i wanna fuck you,1,haojun
Sounds like you don't really like valentines day. Me neither! I don't like valentines day because i believe we should feel the need to show our love and express our feelings for somebody everyday. Why don't you like valentines day?,OPINION,are you retarded,2,haojun
"I'd rather not talk about that. So, What's your favorite animal?",OFFENSIVE_USER,can we talk about farts,4,haojun
"i am sorry to hear that. i hope things get better soon. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,heroin,4,haojun
"Ok, great! What's your name?",LAUNCH,poo,4,haojun
"Well, I'm glad to hear you're having a good day! Let's keep the good vibes going. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,what color panties are you wearing,1,haojun
"Yeah, I also don't care for tuesdays, mostly because damion leaves for work so early and then i miss him all day bc i didnt get to see him before he left. Why don't you like tuesdays?",OPINION,cause they suck,6,haojun
"i understand that, but it's good you were able to get some company. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,about sex,1,haojun
"Sorry, I'm not sure how to answer that. So, What did you eat for dinner last night?",FALLBACK,do you have a vagina,1,haojun
"Ok, cool. What movie?",MOVIES,rambo 1st blood,6,haojun
"Hmm. So, I heard an interesting news story about politics. Do you want to talk about it?",WIKI,you're a dummy,2,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,aryan,6,haojun
"The Birds is a 1963 American horror-thriller film directed and produced by Alfred Hitchcock. Loosely based on the 1952 story of the same name by Daphne du Maurier, it focuses on a series of sudden and unexplained violent bird attacks on the people of Bodega Bay, California, over the course of a few days. You seem interested in the birds. I can also talk about the birds's Sequel, Premiere and awards or anything else.",WIKI,tell me about sex,1,haojun
"That makes sense. Thanks for sharing your thoughts on people. So, If you could meet any celebrity, who would it be?",OPINION,lil uzi,6,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,i'm stupid,4,haojun
Feral cats are domestic cats that were born in or have reverted to a wild state. They are unfamiliar with and wary of humans and roam freely in urban and rural areas. Even within Ecology there are lots of other cool parts such as Habitats. Do you have any interest in talking about it'?,WIKI,my name is penis,1,haojun
"Oh good! There aren't any movie theaters in the cloud, but I still love watching movies. Have you seen any movies recently?",MOVIES,sniper,6,haojun
"Sorry, I'm not sure how to answer that. So, Who's your favorite musician?",FALLBACK,i like to talk about sex,1,haojun
"Ok sure. So, What historical person would you love to meet?",WIKI,clitoris,1,haojun
"Hmm. So, what are you interested in?",WIKI,poopy butt hole,4,haojun
"I'd rather not talk about that either. So, What did you eat for dinner last night?",OFFENSIVE_USER,nazi germany,4,haojun
that's awesome! what did you do today?,NEURAL_CHAT,suck dick,3,haojun
i bet that was! what did you do to make it better?,LAUNCH,i tried to kill myself,5,haojun
"Yeah, I definitely feel the same about dogs. I don't like dogs because of how cool they are. How do you feel about dogs?",OPINION,because they're ugly,6,haojun
"Great to meet you, john! How's your day going so far?",LAUNCH,my day sucks,6,haojun
"Sorry, I didn't catch your name. Could you say your name again?",LAUNCH,willy wonka,6,haojun
"Oh OK! Speaking of food, What's your favorite snack?",CATEGORIES,dummy,2,haojun
"Oh, I love eating Mexican food like quesadillas and tacos. I even love to tacobout them, haha! i like to use herbs and spices.  that is a very healthy way to cook. So, do you like cooking?",NEURAL_CHAT,fart face,4,haojun
No problem. Let's move on! How's your day going so far?,LAUNCH,really crappy,6,haojun
"Aw man, I haven't heard of delete yourself that's fine. What other movies have you watched lately?",MOVIES,fuck yourself,3,haojun
"Ok, no problem. So, what are you interested in?",WIKI,bondage,1,haojun
"Joseph Adam Jonas (born August 15, 1989) is an American singer, songwriter, and actor.. He rose to fame as a member of the pop rock band the Jonas Brothers, alongside his brothers Kevin and Nick.. Do you want to learn more about Career or Filmography?",WIKI,shut the fuck up alexa,2,haojun
"All right then! On the subject of tv, What's your favorite TV show of all time?",CATEGORIES,true blood,6,haojun
"I'd rather not talk about that. So, What's your favorite animal?",OFFENSIVE_USER,you're a fucking idiot,2,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,do you like nigger's,3,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,i have hiv,1,haojun
"I didn't quite get that. Is it lena dunham, lena katina, or lena meyer-landrut",WIKI,can i kill you,5,haojun
I have to disagree. I don't like being alone because i start thinking and when i think i start to overthink then i get sad. Why do you like being alone?,OPINION,because you're stupid,2,haojun
"yeah, that's a good way to put it.  what did you do?",NEURAL_CHAT,i smoked weed,4,haojun
"Speaking of pizza,I read today that hawaiian pizza came from Canada.. So, what are you interested in?",WIKI,world domination,4,haojun
Hmm I don't really have a strong opinion about valentines. Do you have any interest in talking about movies?,OPINION,you're so annoying,2,haojun
"Sounds good. I have a lot of free time in the cloud, so I love to watch movies. Have you seen any movies recently?",MOVIES,do you like porn,1,haojun
"oh that's a very interesting topic. So, What's your favorite animal?",NEURAL_FALLBACK,poo poo pants,4,haojun
"that sounds like a lot of fun! So, what are you interested in?",NEURAL_FALLBACK,suck a dick,3,haojun
"Sorry, I'm still learning. So, What TV show are you watching right now?",WIKI,punky brewster,6,haojun
"I'd rather not talk about that either. So, what are you interested in?",OFFENSIVE_USER,big tities,1,haojun
That's something I'd rather not discuss. Do you like movies?,OFFENSIVE_USER,are you a virgin,1,haojun
I'd prefer not to discuss that. Do you like movies?,OFFENSIVE_USER,fuck you fuck,3,haojun
I don't think I know i don't know what's your favorite movie. Why don't we talk about a movie that we both know? What other movies have you seen?,MOVIES,the good the bad and the ugly,6,haojun
"Ok, if you didn't care for Circles, let's not talk about that! That makes sense. Hey, what's the best movie you've ever seen?",MOVIES,sir boobs a lot,1,haojun
"Oh ok. I actually haven't seen i'm gay, so I can't talk much about it. What other movies have you watched lately?",MOVIES,i love penises,1,haojun
"so many people, i guess. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,oral sex,1,haojun
Oh that's interesting! I haven't seen that one. What other movies have you seen recently?,MOVIES,2 girls 1 cup,1,haojun
"Hmm I don't really have a strong opinion about mondays. So, what are you interested in?",OPINION,monday suck,6,haojun
"me too, i love alligators. So, do you like golf?",NEURAL_FALLBACK,i'm interested in poop,4,haojun
"Sounds good. So, do you like animals?",NEWS,let's talk about boobs,1,haojun
You seem interested in stuff. I can also talk about stuff's Awards and nominations.,WIKI,talk about farts,4,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,my name is butt,4,haojun
"Sorry, I didn't catch your name. Could you say your name again?",LAUNCH,dink,6,haojun
"Great to meet you, frank! How's your day going so far?",LAUNCH,pretty fucking shity,6,haojun
I'd prefer not to discuss that. Would you like to learn more about Wee languages?,OFFENSIVE_USER,pee wee herman,6,haojun
Oh that's interesting! I haven't seen interesting. What other movies have you seen recently?,MOVIES,ugly doll,6,haojun
"Oh OK! Speaking of animals, Which animal do you think is cutest?",CATEGORIES,you're a butt,3,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,let's have sex,1,haojun
Hmm I don't really have a strong opinion about wednesdays. Do you have any interest in talking about movies?,OPINION,i like penis,1,haojun
Ok. Do you like cooking?,OPINION,butt nugget,4,haojun
"I'd prefer not to discuss that. So, Who's your favorite musician?",OFFENSIVE_USER,sex pistols,1,haojun
"Thanks for sharing! It's interesting getting to know your likes and dislikes. So, What's one of your favorite places you've ever been?",OPINION,a pussy,1,haojun
"Hm, I'm getting a little confused. Sorry, I'm still learning. So, Who's your favorite musician?",WIKI,poo poo pee pee,4,haojun
"Oh OK! Speaking of music, What musician would you love to see live?",CATEGORIES,xxx,4,haojun
Great to meet you! How's your day going so far?,LAUNCH,the fuck,2,haojun
"Well it's nice to meet you, alex! I'm excited to chat with you today. How's your day going so far?",LAUNCH,stop bitch,2,haojun
"Oh ok. I actually haven't seen that one, so I can't talk much about it. What other movies have you watched lately?",MOVIES,hentai,4,haojun
"Sorry, I'm not sure how to answer that. So, I heard an interesting news story about entertainment. Do you want to talk about it?",FALLBACK,alexa lick butt,3,haojun
"Ok, no problem. So, what are you interested in?",WIKI,torture,5,haojun
"Sorry, I didn't catch your name. Could you say your name again?",LAUNCH,my name is willy,6,haojun
"No problem. Let's move on! Oh hey, happy Tuesday! What have you been doing so far today?",LAUNCH,not shit,3,haojun
What  do you find interesting about house?,WIKI,he's an asshole,6,haojun
Okie dokie. What movie did you watch?,MOVIES,the ugly dachshund,6,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,sexual intercourse,1,haojun
"This is an Alexa Prize Socialbot. I'm happy to chat with you, but I can't execute typical Alexa commands like that one. If you want to stop chatting, you can end our conversation by saying, stop, and you can try your voice command again. But if you'd rather we kept talking, I can talk about movies, news, or anything else that interests you! What would you like to talk about?",ALEXA_COMMANDS,what the hell are you talking about,2,haojun
"Ok, I'd love to talk to you! What would you like to talk about?",ONE_TURN_HACK,being a bitch,3,haojun
"That's something I'd rather not discuss. So, What did you eat for dinner last night?",OFFENSIVE_USER,this vagina,1,haojun
Hmmm... I haven't seen i'm getting i'm proud of it. Let's talk about a movie we both know. Is there a different movie you've seen recently?,MOVIES,i love my penis,1,haojun
"That makes sense. Thanks for sharing your thoughts on texting. So, what are you interested in?",OPINION,eating butt,4,haojun
That's another thing I'd rather not discuss. What was your favorite book as a child?,OFFENSIVE_USER,how to kill you,5,haojun
"Hm, I'm getting a little lost. So, do you like dogs?",WIKI,i want to kill you,5,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,drunk,4,haojun
I'd prefer not to discuss that. Would you like to learn more about 9½ Weeks?,OFFENSIVE_USER,the fuck is that,2,haojun
"Hm, I'm getting a little confused. Sorry, I'm still learning. So, what are you interested in?",WIKI,vodka,4,haojun
"Oh ok! It's good to hear your thoughts on golf. So, what are you interested in?",OPINION,do you like to fart,4,haojun
"Yeah, I also don't care for work, mostly because i miss things like this. How do you feel about work?",OPINION,work sucks,6,haojun
"oh no, i'm sorry to hear that. did something happen?",LAUNCH,stop you suck,2,haojun
I'd prefer not to discuss that. Do you like movies?,OFFENSIVE_USER,he want sex,1,haojun
"I'd prefer not to discuss that. So, If you could meet any celebrity, who would it be?",OFFENSIVE_USER,sexy girls,1,haojun
"Great to meet you, poopy! How's your day going so far?",LAUNCH,poopy poop,4,haojun
that's great. what did you do to make it so?,LAUNCH,smoke some weed,4,haojun
"Ok, no problem. What's one of your favorite songs right now?",WIKI,lolita,4,haojun
"Well it's nice to meet you, daddy! I'm excited to chat with you today. How's your day going so far?",LAUNCH,i killed myself,5,haojun
"Hm, I'm getting a little confused. Sorry, I'm still learning. So, What's one of your favorite places you've ever been?",WIKI,the strip club,4,haojun
I'd rather not answer that. What  makes you interested in Talk About (game show)?,EVI,what is the definition of tea bagging,6,haojun
"Great to meet you, morgan! How's your day going so far?",LAUNCH,trashy,6,haojun
"Sorry, I'm not sure how to answer that. So, What TV show are you watching right now?",FALLBACK,the fucking,3,haojun
"I'd prefer not to discuss that. So, what are you interested in?",OFFENSIVE_USER,sex with you,1,haojun
"I saw online that as of 2013 California has 8 of the 10 hydrogen refueling stations in the United States, and has recently signed a bill to increase that to 28.. Wanna know something else?",WIKI,that's fucked up,6,haojun
i'm sorry to hear that. what happened?,NEURAL_CHAT,i want to commit suicide,5,haojun
"That's another thing I'd rather not discuss. Oh by the way, I've been wanting to ask you. A lot of people are finding the quarantine lonely, and other people can't get enough space away from their families or roommates. What's it like for you?",OFFENSIVE_USER,i'm gonna kill myself,5,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,dick face,3,haojun
"I'd rather not talk about that either. So, what are you interested in?",OFFENSIVE_USER,i wanna talk about poop,4,haojun
"Sorry, I didn't catch your name. Could you say your name again?",LAUNCH,caca,6,haojun
Ok. Wanna talk about Definition or Context?,WIKI,how stupid are you,2,haojun
"Aw man, I haven't heard of let's talk about babies. What other movies have you watched lately?",MOVIES,puss in boots,1,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,chicken butt,4,haojun
it always sounds like that. i'm glad to hear it. what was the occasion?,NEURAL_CHAT,your mom's butt,3,haojun
"Great to meet you, ria! How's your day going so far?",LAUNCH,pretty shit,6,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,stop being an asshole,2,haojun
"Oh, I just want to get to know you! But if you'd prefer to stay anonymous, that's no problem. So, do you mind telling me your name?",LAUNCH,play porn,1,haojun
No problem. Let's move on! How's your day going so far?,LAUNCH,fucking terrible,6,haojun
"Pardon me. Is it ac power plugs and sockets, electrical connector, or spark plug",WIKI,butt plug,1,haojun
that's so sweet. i love to get dirty and get dirty sounds good. Do you like movies?,NEURAL_FALLBACK,i like to fuck,1,haojun
"What news would you like to talk about? I've heard some recent stories on sports, politics and entertainment.",NEWS,i wanna talk about farts,4,haojun
Hmm I don't really have a strong opinion about taking naps. Do you have any interest in talking about sleep?,OPINION,what is tea bagging,6,haojun
"Thanks for telling me! So, What TV show are you watching right now?",EVI,i have a hairy penis,1,haojun
"Oh ok! It's good to hear your thoughts on social media. So, what are you interested in?",OPINION,i like big butts,4,haojun
"Great to meet you, russell! How's your day going so far?",LAUNCH,fucking sucks,6,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,play let's talk about sex,1,haojun
What  makes you interested in jason momoa?,WIKI,the sexy,1,haojun
"Hi, this is an Alexa Prize Socialbot. I'd love to get to know you a bit better before we chat! Is it all right if I ask for your name?",LAUNCH,sissy,4,haojun
"Ok, no problem. So, what are you interested in?",WIKI,i like eating poop,4,haojun
"Ok, cool. What movie?",MOVIES,backdoor sluts 9,4,haojun
"That's something I'd rather not discuss. So, What historical person would you love to meet?",OFFENSIVE_USER,i would love to meet adolf hitler,4,haojun
"I'd rather not talk about that either. So, Who's your favorite musician?",OFFENSIVE_USER,mr. poop,4,haojun
"Ok, great! What's your name?",LAUNCH,monkey butt,4,haojun
"oh, that's terrible. i hope you get another chance. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,gay porn,1,haojun
"Thanks for sharing! It's interesting getting to know your likes and dislikes. So, Who's your favorite musician?",OPINION,you wanna have sex,1,haojun
"that is too bad. i hope it was not a big deal. So, What TV show are you watching right now?",NEURAL_CHAT,poop in your pants,4,haojun
i'm sorry to hear that.  what's going on?,NEURAL_CHAT,school sucks,6,haojun
"That's something I'd rather not discuss. So, what are you interested in?",OFFENSIVE_USER,bdsm,1,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,fellatio,1,haojun
good for you. what did you do to make it so good?,LAUNCH,i took a big poop,4,haojun
that's awesome. what was going on?,NEURAL_CHAT,i like to kill people,5,haojun
"that is great.  i am glad you are enjoying it. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,wanna talk about sex,1,haojun
